Number,PID,Process Name
0,1556,services.exe
1,1596,lsass.exe
2,1624,svchost.exe
3,1728,svchost.exe
4,1852,svchost.exe
5,1912,svchost.exe
6,1996,dwm.exe
7,2232,svchost.exe
8,2240,svchost.exe
9,2436,svchost.exe
10,2672,svchost.exe
11,2788,svchost.exe
12,3084,svchost.exe
13,3708,svchost.exe
14,3748,svchost.exe
15,4388,svchost.exe
16,4436,svchost.exe
17,4492,svchost.exe
18,4524,svchost.exe
19,4628,svchost.exe
20,5060,svchost.exe
21,5244,avp.exe
22,5880,svchost.exe
23,6392,svchost.exe
24,6552,MsMpEng.exe
25,10108,DllHost.exe
26,11624,sihost.exe
27,11740,svchost.exe
28,11904,Widgets.exe
29,11924,svchost.exe
30,12016,svchost.exe
31,13440,SearchProtocolHost.exe
32,15640,svchost.exe
33,15848,svchost.exe
34,16584,WidgetService.exe
35,17968,StartMenuExperienceHost.exe
36,19308,SearchIndexer.exe
37,21360,WmiPrvSE.exe
38,22636,SearchHost.exe
39,26584,explorer.exe
40,27088,ApplicationFrameHost.exe
41,28764,WmiPrvSE.exe
42,30980,WindowsTerminal.exe
43,32168,OpenConsole.exe
44,34196,msedge.exe
45,37068,dllhost.exe
46,38296,svchost.exe
47,38888,WMExternal.exe
48,39884,UserOOBEBroker.exe
49,44644,OpenConsole.exe
50,47176,RuntimeBroker.exe
51,48192,DllHost.exe
52,48948,SearchProtocolHost.exe
53,50016,SearchFilterHost.exe
